,website_id,domain,lang
0,222,www.dailyhindustanexpress.com,ur
1,226,roznamasahara.com,ur
2,236,www.baseeratonline.com,ur
3,232,www.dailysalar.com,ur
4,216,www.etemaaddaily.com,ur
5,225,urdu.siasat.com,ur
6,228,kashmiruzma.net,ur
7,243,asiatimes.co.in,ur
8,227,siyasitaqdeer.com,ur
9,229,taasir.com,ur
10,230,www.jadidkhabar.com,ur
11,226,taasir.com,ur
12,224,www.etemaaddaily.com,ur
13,233,aalmiakhbar.com,ur
14,235,asiaexpress.co.in,ur
15,228,www.jadidkhabar.com,ur
16,234,urdutahzeeb.com,ur
17,229,sports.punjabkesari.in,ur
18,227,www.dailyhindustanexpress.com,ur
19,217,www.inquilab.com,ur
20,238,aalmiakhbar.com,ur
21,225,avadhnama.com,ur
22,235,dailyaag.com,ur
23,237,harpalonline.com,ur
24,240,asiaexpress.co.in,ur
25,236,asiatimes.co.in,ur
26,245,harpalonline.com,ur
27,246,plus.google.com,ur
28,231,www.farooquitanzeem.com,ur
29,232,www.siyasiufuque.com,ur
30,239,urdutahzeeb.com,ur
31,231,anwareqaum.com,ur
32,218,www.siasat.com,ur
33,234,www.saeban.in,ur
34,241,www.dailyudaan.nic.net.in,ur
35,219,admin.urdutimesdaily.com,ur
36,224,aurangabadtimes.net,ur
37,244,www.daurejadeed.com,ur
38,221,www.cloudflare.com,ur
39,233,hamaramaqsad.com,ur
40,113,telugu.webdunia.com,te
41,88,www.andhrajyothy.com,te
42,104,telugu.samayam.com,te
43,209,telugu.greatandhra.com,te
44,101,www.tupaki.com,te
45,95,telugu.gulte.com,te
46,208,www.telugutimes.net,te
47,217,ntvtelugu.com,te
48,119,oktelugu.com,te
49,105,www.indiaherald.com,te
50,212,telugu.samayam.com,te
51,106,www.youtube.com,te
52,93,prajasakti.com,te
53,108,www.navatelangana.com,te
54,99,www.telugutimes.net,te
55,200,www.andhrajyothy.com,te
56,206,telugu.news18.com,te
57,90,andhrabhoomi.net,te
58,91,www.vaartha.com,te
59,117,telugu.asianetnews.com,te
60,94,telugu.suryaa.com,te
61,203,www.ntnews.com,te
62,222,telugu.asianetnews.com,te
63,201,www.sakshi.com,te
64,110,ntvtelugu.com,te
65,118,dearurban.com,te
66,213,www.indiaherald.com,te
67,96,telugu.news18.com,te
68,218,www.telugupost.com,te
69,215,www.navatelangana.com,te
70,223,oktelugu.com,te
71,115,twitter.com,te
72,204,www.prajasakti.com,te
73,102,www.telugu360.com,te
74,100,telugu.greatandhra.com,te
75,92,www.ntnews.com,te
76,221,www.iranewspaper.com,te
77,112,visalaandhra.com,te
78,89,www.sakshi.com,te
79,214,www.manatelangana.news,te
80,220,janamsakshi.org,te
81,205,telugu.gulte.com,te
82,219,visalaandhra.com,te
83,202,www.andhrabhoomi.net,te
84,107,www.manatelangana.news,te
85,216,telugu.telugubullet.com,te
86,103,www.ap7am.com,te
87,116,www.facebook.com,te
88,109,telugu.telugubullet.com,te
89,207,namasteandhra.com,te
90,97,www.telugumirchi.com,te
91,210,www.telugu360.com,te
92,211,www.ap7am.com,te
93,98,namasteandhra.com,te
94,189,vivegamnews.com,ta
95,139,hausa.cri.cn,ta
96,186,www.tamilsanjikai.com,ta
97,143,vanakkamlondon.com,ta
98,161,inioru.com,ta
99,160,www.kathiravan.com,ta
100,164,tamil.cri.cn,ta
101,173,www.tamilmithran.com,ta
102,151,www.dinamalar.com,ta
103,149,www.4tamilmedia.com,ta
104,162,www.puthinappalakai.net,ta
105,188,mrpuyal.com,ta
106,178,www.runworldmedia.com,ta
107,152,www.maalaimalar.com,ta
108,142,www.gv.com.sg,ta
109,155,www.hindutamil.in,ta
110,155,www.athirady.com,ta
111,137,tamil.webdunia.com,ta
112,196,tamilwin.com,ta
113,135,www.ntamil.com,ta
114,167,feeds.feedburner.com,ta
115,145,tamil.asianetnews.com,ta
116,153,www.dinakaran.com,ta
117,153,www.malaimurasu.com,ta
118,156,www.thinaboomi.com,ta
119,134,www.kokuvilhindu.net,ta
120,150,yarl.com,ta
121,183,www.inneram.com,ta
122,182,www.cafekk.com,ta
123,199,canadauthayan.ca,ta
124,131,dinasudar.com,ta
125,176,www.pathivu.com,ta
126,183,jvpnews.com,ta
127,184,tamilwin.com,ta
128,179,puthu.thinnai.com,ta
129,159,www.sumanasa.com,ta
130,140,www.instagram.com,ta
131,154,www.dinamani.com,ta
132,171,yarl.com,ta
133,156,www.pathivu.com,ta
134,166,www.tamilmurasu.com.sg,ta
135,181,www.timesofadventure.com,ta
136,170,newsethiri.com,ta
137,124,cinema.dinakaran.com,ta
138,146,tamil.samayam.com,ta
139,198,globaltamilnews.net,ta
140,152,www.tamilmithran.com,ta
141,169,tamil.samayam.com,ta
142,127,www.thinaboomi.com,ta
143,190,www.dinapathippu.com,ta
144,150,www.dailythanthi.com,ta
145,174,www.malaimurasu.com,ta
146,185,www.timestamilnews.com,ta
147,175,mrpuyal.com,ta
148,154,chennaionline.com,ta
149,177,www.sumanasa.com,ta
150,138,www.bbc.com,ta
151,159,dinasudar.com,ta
152,195,www.siruthozhilmunaivor.com,ta
153,148,athirvu.in,ta
154,141,www.paristamil.com,ta
155,163,www.bbc.com,ta
156,122,www.dinamalar.com,ta
157,162,tamil.webdunia.com,ta
158,170,athirvu.in,ta
159,184,www.news4tamil.com,ta
160,176,vivegamnews.com,ta
161,132,www.puthiyathalaimurai.com,ta
162,180,dinasuvadu.com,ta
163,188,facebook.com,ta
164,168,tamil.asianetnews.com,ta
165,161,www.ntamil.com,ta
166,171,www.news4tamil.com,ta
167,157,theekkathir.in,ta
168,194,tamilnaduflashnews.com,ta
169,193,dinasuvadu.com,ta
170,157,makkalkural.net,ta
171,197,ibctamil.com,ta
172,123,www.facebook.com,ta
173,185,manithan.com,ta
174,186,athavantv.com,ta
175,133,www.eelanation.com,ta
176,179,eeladhesam.com,ta
177,165,www.paristamil.com,ta
178,158,www.tamilmurasu.org,ta
179,178,www.chennaitodaynews.com,ta
180,191,www.runworldmedia.com,ta
181,192,puthu.thinnai.com,ta
182,126,www.hindutamil.in,ta
183,174,tamilminutes.com,ta
184,125,www.dinamani.com,ta
185,187,tamilminutes.com,ta
186,167,vanakkamlondon.com,ta
187,172,www.facebook.com,ta
188,144,www.murasoli.in,ta
189,180,news.coimbatoreonline.in,ta
190,151,in4net.com,ta
191,128,theekkathir.in,ta
192,160,www.chennaitodaynews.com,ta
193,173,www.facebook.com,ta
194,182,siruthozhilmunaivor.blogspot.com,ta
195,172,in4net.com,ta
196,164,twitter.com,ta
197,129,mag.viduthalai.in,ta
198,130,www.tamilmurasu.org,ta
199,177,www.dinapathippu.com,ta
200,187,twitter.com,ta
201,168,www.timesofadventure.com,ta
202,158,www.afternic.com,ta
203,163,tamilkurinji.com,ta
204,181,tamilnaduflashnews.com,ta
205,138,jagbani.punjabkesari.in,pa
206,143,www.5dariyanews.com,pa
207,144,punjabpost.in,pa
208,2,www.punjabitribuneonline.com,pa
209,140,www.tribuneindia.com,pa
210,20,indootimes.com.au,pa
211,6,punjabijagran.com,pa
212,148,indootimes.com.au,pa
213,4,www.rozanaspokesman.com,pa
214,147,punjabinewsonline.com,pa
215,149,punjabmailusa.com,pa
216,8,epaper.ajdiawaaz.in,pa
217,21,www.deshdoaba.com,pa
218,145,www.quamiekta.com,pa
219,146,skyhawktimes.com,pa
220,3,jagbani.punjabkesari.in,pa
221,141,www.punjabijagran.com,pa
222,7,nawanzamana.in,pa
223,19,azadsoch.in,pa
224,16,www.quamiekta.com,pa
225,139,www.rozanaspokesman.com,pa
226,13,sachkahoonpunjabi.com,pa
227,18,punjabinewsonline.com,pa
228,24,punjabmailusa.com,pa
229,137,www.punjabitribuneonline.com,pa
230,10,charhdikala.com,pa
231,22,www.hamdardtv.com,pa
232,11,dailyjanjagriti.com,pa
233,15,epaper.dailyaashiana.com,pa
234,17,skyhawktimes.com,pa
235,142,nawanzamana.in,pa
236,9,epaper.dailypunjabtimes.com,pa
237,23,epaper.thetimesofpunjab.com,pa
238,1,www.ajittv.com,pa
239,5,www.cloudflare.com,pa
240,127,www.dinalipi.com,or
241,132,orissadiary.com,or
242,126,www.dharitri.com,or
243,134,eodishasamachar.com,or
244,207,www.odisha.com,or
245,196,sambad.in,or
246,200,odishabhaskar.com,or
247,135,odiapua.com,or
248,204,orissadiary.com,or
249,206,eodishasamachar.com,or
250,209,incredibleorissa.com,or
251,197,www.dharitri.com,or
252,205,www.anupambharatonline.com,or
253,213,www.maheshtechnology.com,or
254,210,www.bookodisha.com,or
255,203,odishareporter.in,or
256,131,odishareporter.in,or
257,136,enewsodia.com,or
258,128,odishabhaskar.com,or
259,130,www.orissapost.com,or
260,125,sambad.in,or
261,129,www.prameyanews.com,or
262,215,enewsodia.com,or
263,214,sarbasadharana.com,or
264,202,www.orissapost.com,or
265,199,www.dinalipi.com,or
266,201,www.prameyanews.com,or
267,133,www.anupambharatonline.com,or
268,198,www.facebook.com,or
269,211,cpanel.net,or
270,316,telegram.me,mr
271,110,www.lokmat.com,mr
272,315,www.sakalsocialfoundation.org,mr
273,120,www.dainikaikya.com,mr
274,113,maharashtratimes.com,mr
275,314,www.loksatta.com,mr
276,119,prahaar.in,mr
277,111,www.loksatta.com,mr
278,114,divyamarathi.bhaskar.com,mr
279,322,prahaar.in,mr
280,320,www.facebook.com,mr
281,313,www.lokmatsakhi.com,mr
282,116,www.saamana.com,mr
283,335,epaper.dainikgomantak.com,mr
284,324,beedreporter.net,mr
285,329,marathwadaneta.com,mr
286,124,www.agrowon.com,mr
287,333,www.agrowon.com,mr
288,334,www.zunjarneta.com,mr
289,326,esanchar.co.in,mr
290,117,tarunbharat.com,mr
291,112,www.esakal.com,mr
292,121,elokasha.com,mr
293,118,www.deshonnati.com,mr
294,323,parshvbhumi.com,mr
295,325,epaper.dainikekmat.com,mr
296,122,www.thebridgechronicle.com,mr
297,331,www.facebook.com,mr
298,336,www.dainikmurder.net,mr
299,328,www.elokasha.com,mr
300,330,www.lokprashna.com,mr
301,327,www.dainikaikya.com,mr
302,319,www.cloudflare.com,mr
303,332,www.deshdoot.com,mr
304,318,pudhari.news,mr
305,85,www.kvartha.com,ml
306,75,www.mangalam.com,ml
307,86,www.pravasiexpress.com,ml
308,104,malayalam.webdunia.com,ml
309,48,www.mangalam.com,ml
310,64,www.eastcoastdaily.com,ml
311,74,www.mathrubhumi.com,ml
312,84,www.metrovaartha.com,ml
313,73,www.manoramaonline.com,ml
314,88,www.marunadanmalayalee.com,ml
315,73,www.facebook.com,ml
316,109,www.asianetnews.com,ml
317,62,keralaexpress.com,ml
318,81,www.chandrikadaily.com,ml
319,57,www.evartha.in,ml
320,101,www.puzha.com,ml
321,91,suprabhaatham.com,ml
322,61,eveningkerala.com,ml
323,97,www.kasargodvartha.com,ml
324,106,www.keralabhooshanam.com,ml
325,99,timeskerala.com,ml
326,83,malayalam.samayam.com,ml
327,94,www.4pmnewsonline.com,ml
328,66,t.me,ml
329,80,www.deshabhimani.com,ml
330,77,www.deepika.com,ml
331,54,www.chandrikadaily.com,ml
332,105,malayalam.samayam.com,ml
333,68,www.facebook.com,ml
334,82,www.janmabhumi.in,ml
335,76,www.madhyamam.com,ml
336,65,www.rashtradeepika.com,ml
337,63,www.marunadanmalayalee.com,ml
338,96,www.malayalamexpress.in,ml
339,74,anweshanam.com,ml
340,51,keralakaumudi.com,ml
341,78,keralakaumudi.com,ml
342,89,www.rashtradeepika.com,ml
343,87,keralaexpress.com,ml
344,60,www.pravasiexpress.com,ml
345,59,www.tumblr.com,ml
346,90,www.sirajlive.com,ml
347,55,www.janmabhumi.in,ml
348,108,www.punalurnews.com,ml
349,78,www.puzha.com,ml
350,98,anweshanam.com,ml
351,79,www.sathyamonline.com,ml
352,83,www.thejasnews.com,ml
353,100,www.southernpost.in,ml
354,87,www.asianetnews.com,ml
355,53,www.deshabhimani.com,ml
356,69,dailyindianherald.com,ml
357,49,www.madhyamam.com,ml
358,92,www.bignewslive.com,ml
359,82,malayalam.webdunia.com,ml
360,85,www.rashtrabhoomi.com,ml
361,103,www.vyganews.com,ml
362,86,www.punalurnews.com,ml
363,84,www.keralabhooshanam.com,ml
364,67,suprabhaatham.com,ml
365,80,www.vyganews.com,ml
366,70,www.4pmnewsonline.com,ml
367,75,timeskerala.com,ml
368,47,newspaper.mathrubhumi.com,ml
369,46,www.manoramahorizon.com,ml
370,79,www.sathyadeepam.org,ml
371,93,dailyindianherald.com,ml
372,107,www.rashtrabhoomi.com,ml
373,58,www.quintype.com,ml
374,52,www.sathyamonline.com,ml
375,102,www.sathyadeepam.org,ml
376,72,www.malayalamexpress.in,ml
377,71,keralaonlinenews.com,ml
378,95,keralaonlinenews.com,ml
379,68,www.sanjevani.com,kn
380,44,kannada.webdunia.com,kn
381,72,kannada.asianetnews.com,kn
382,67,prajapragathi.com,kn
383,26,www.prajavani.net,kn
384,28,vijaykarnataka.com,kn
385,64,vijaykarnataka.com,kn
386,62,www.prajavani.net,kn
387,69,kannadadunia.com,kn
388,37,sudharmasanskritdaily.in,kn
389,63,www.kannadaprabha.com,kn
390,33,www.sanjevani.com,kn
391,66,www.varthabharati.in,kn
392,70,balkaninews.com,kn
393,36,www.sahilonline.net,kn
394,61,www.udayavani.com,kn
395,40,www.karnatakamalla.com,kn
396,25,www.udayavani.com,kn
397,39,janathavani.com,kn
398,65,vishwavani.news,kn
399,30,vishwavani.news,kn
400,27,www.kannadaprabha.com,kn
401,32,prajapragathi.com,kn
402,71,suddidina.com,kn
403,34,kannadadunia.com,kn
404,45,kannada.asianetnews.com,kn
405,31,www.varthabharati.in,kn
406,35,www.instagram.com,kn
407,29,epapervijayavani.in,kn
408,41,twitter.com,kn
409,54,www.bharatkhabar.com,hi
410,299,epaper.thehawk.in,hi
411,274,navabharat.com,hi
412,46,www.virarjun.com,hi
413,39,www.samacharjagat.com,hi
414,50,punjabkesari.com,hi
415,34,www.khaskhabar.com,hi
416,25,www.jagran.com,hi
417,249,www.bhaskar.com,hi
418,266,deshbandhu.co.in,hi
419,269,epaper.pratahkal.com,hi
420,248,www.vishvasnews.com,hi
421,250,www.amarujala.com,hi
422,256,epaper.lokmat.com,hi
423,273,www.loktej.com,hi
424,255,nari.punjabkesari.in,hi
425,262,www.prabhasakshi.com,hi
426,58,www.shahtimesnews.com,hi
427,43,www.loktej.com,hi
428,264,www.dainiktribuneonline.com,hi
429,294,dailychhattisgarh.com,hi
430,292,twitter.com,hi
431,288,www.bharatkhabar.com,hi
432,261,www.divyahimachal.com,hi
433,272,tehelkahindi.com,hi
434,251,www.livehindustan.com,hi
435,254,www.jansatta.com,hi
436,45,ranchiexpress.com,hi
437,282,www.readwhere.com,hi
438,305,www.shahtimesnews.com,hi
439,28,navbharattimes.indiatimes.com,hi
440,26,www.bhaskar.com,hi
441,289,www.krishakjagat.org,hi
442,55,www.krishakjagat.org,hi
443,30,www.jansatta.com,hi
444,310,highwaychannel.in,hi
445,33,www.haribhoomi.com,hi
446,60,www.inextlive.com,hi
447,290,tarunmitra.in,hi
448,283,dainiksaveratimes.com,hi
449,293,twitter.com,hi
450,48,hindi.business-standard.com,hi
451,284,www.agniban.com,hi
452,263,www.deshdoot.com,hi
453,42,tehelkahindi.com,hi
454,32,www.prabhatkhabar.com,hi
455,279,www.business-standard.com,hi
456,35,www.divyahimachal.com,hi
457,52,www.agniban.com,hi
458,57,dailychhattisgarh.com,hi
459,41,sanjeevnitoday.com,hi
460,295,www.jagruktimes.co.in,hi
461,257,www.prabhatkhabar.com,hi
462,253,www.patrika.com,hi
463,311,dunvalleymail.com,hi
464,31,www.punjabkesari.in,hi
465,291,panchjanya.com,hi
466,297,epaper.viraatvaibhav.com,hi
467,260,clck.mgid.com,hi
468,296,dainikpurvoday.com,hi
469,44,navabharat.com,hi
470,36,www.prabhasakshi.com,hi
471,281,punjabkesari.com,hi
472,300,dandakaranyasamachar.com,hi
473,27,www.amarujala.com,hi
474,301,www.linkedin.com,hi
475,29,www.patrika.com,hi
476,47,sandhyapravakta.com,hi
477,265,www.samacharjagat.com,hi
478,271,www.uttamhindu.com,hi
479,51,deshonnati.digitaledition.in,hi
480,306,epaper.swadesh.in,hi
481,53,www.pradeshtoday.com,hi
482,38,www.dainiktribuneonline.com,hi
483,304,www.dailynewsactivist.com,hi
484,56,aapkikhabar.com,hi
485,312,www.inextlive.com,hi
486,258,www.naidunia.com,hi
487,298,www.glpublications.in,hi
488,59,dunvalleymail.com,hi
489,270,sanjeevnitoday.com,hi
490,303,www.jansandeshtimes.net,hi
491,40,www.deshbandhu.co.in,hi
492,302,www.linkedin.com,hi
493,267,www.rashtriyasahara.com,hi
494,308,www.janwani.in,hi
495,286,go.microsoft.com,hi
496,16,www.rakhewaldaily.com,gu
497,8,sanjsamachar.net,gu
498,9,www.gujaratimidday.com,gu
499,359,twitter.com,gu
500,339,sandesh.com,gu
501,11,www.nobat.com,gu
502,362,eaglenews.in,gu
503,18,www.lokmijaj.com,gu
504,350,www.nobat.com,gu
505,361,sunvillasamachar.com,gu
506,363,www.dhabkar.in,gu
507,340,www.gujaratsamachar.com,gu
508,341,www.akilanews.com,gu
509,22,gujarati.webdunia.com,gu
510,351,www.gujarattoday.in,gu
511,345,www.gujaratimidday.com,gu
512,23,www.iamgujarat.com,gu
513,344,sanjsamachar.net,gu
514,342,navgujaratsamay.com,gu
515,368,devpwadesktop.zeenews.com,gu
516,15,www.loksansar.in,gu
517,358,www.aaspassindia.com,gu
518,13,ahmedabadmirror.com,gu
519,21,www.news18.com,gu
520,374,gujarattimesusa.com,gu
521,343,gujaratmitra.in,gu
522,348,www.aajkaaldaily.com,gu
523,14,www.janmabhoominewspapers.com,gu
524,366,timesofindia.indiatimes.com,gu
525,10,www.kutchmitradaily.com,gu
526,7,gujaratmitra.in,gu
527,3,www.divyabhaskar.co.in,gu
528,346,www.kutchmitradaily.com,gu
529,347,bombaysamachar.com,gu
530,373,gujaratabroad.ca,gu
531,24,gujarattimesusa.com,gu
532,356,www.janmabhoominewspapers.com,gu
533,20,timesofindia.indiatimes.com,gu
534,370,gujarati.webdunia.com,gu
535,367,www.news18.com,gu
536,369,www.bbc.co.uk,gu
537,17,www.dhabkar.in,gu
538,338,www.divyabhaskar.co.in,gu
539,5,www.akilanews.com,gu
540,4,www.gujaratsamachar.com,gu
541,360,nayapadkar.in,gu
542,19,muslimsandesh.wordpress.com,gu
543,354,ahmedabadmirror.com,gu
544,353,kutchuday.in,gu
545,12,kutchuday.in,gu
546,365,muslimsandesh.files.wordpress.com,gu
547,355,www.gujaratguardian.in,gu
548,352,www.westerntimes.co.in,gu
549,file_base,,file_base
550,193,www.pratidintime.com,as
551,1,www.pratidintime.com,as
552,2,ganaadhikar.com,as
553,189,www.asomiyapratidin.in,as
554,192,niyomiyabarta.com,as
555,190,www.assamiyakhabor.com,as
556,0,www.asomiyapratidin.in,as
557,195,www.ganaadhikar.com,as
558,194,www.glpublications.in,as
559,--,rajasthan.punjabkesari.in,--
